City,Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
Duluth,1948,3.8,10.1,-2,716.8,21.9,108,108,20,111,0,1
Duluth,1949,4.1,10.4,-1.4,978.68,26,143,118,41,105,0,0
Duluth,1950,1.6,7.7,-3.9,1022.12,21.5,118,137,31,117,0,1
Duluth,1951,2.4,8,-2.5,946.64,18.5,141,120,29,122,0,0
Duluth,1952,4.5,10.7,-1,640.81,19.1,105,111,29,94,0,3
Duluth,1953,4.6,10.5,-0.7,886.76,19.7,128,117,36,128,0,0
Duluth,1954,3.9,9.5,-1.2,678.45,20.8,134,116,26,103,0,2
Duluth,1955,3.9,10,-1.7,858.81,21,134,122,40,107,0,0
Duluth,1956,3.5,9.7,-2.1,549.67,21.5,136,112,29,106,0,1
Duluth,1957,3.4,9.5,-2.1,737.84,20.4,124,99,28,107,0,0
Duluth,1958,3.8,10,-1.7,707.18,20.6,116,106,29,98,0,1
Duluth,1959,3.6,9.6,-1.7,786.18,20.6,127,109,29,113,0,0
Duluth,1960,3.8,9.9,-1.5,692.15,20.5,116,109,26,119,0,0
Duluth,1961,4.5,10.7,-1.1,609.84,17.5,115,119,18,125,0,0
Duluth,1962,2.9,9,-2.3,757.71,17.7,131,131,30,143,0,0
Duluth,1963,4.4,10.7,-1.2,577.8,17.5,113,100,22,108,0,0
Duluth,1964,4,10.1,-1.6,894.85,17.5,127,105,40,116,0,0
Duluth,1973,4.3,10.2,-0.7,-,15.2,141,102,35,173,1,0
Duluth,1974,3.1,9.3,-2.6,-,17,148,112,34,142,0,0
Duluth,1975,3.5,9.4,-2,-,18.7,133,114,47,145,0,1
Duluth,1976,3.5,10.5,-3,581.41,16.4,81,116,24,86,0,2
Duluth,1977,4.2,10.3,-1.6,871.49,17.1,147,98,33,137,0,0
Duluth,1978,3.8,10.5,-2.4,577.38,15.7,112,102,21,108,0,1
Duluth,1979,3.2,9.3,-2.5,812.76,16.2,129,112,28,128,0,1
Duluth,1980,3.7,10.2,-2.5,715.46,16.8,124,107,24,110,0,1
Duluth,1981,4.5,10.7,-1.2,727.62,16.5,138,95,23,151,0,3
Duluth,1982,2.9,9,-3.2,878.58,16.9,138,93,37,149,0,0
Duluth,1983,4.5,10.1,-0.8,875.56,17.7,143,108,27,152,0,1
Duluth,1984,4.4,10.9,-1.4,763.72,17.9,136,89,23,129,0,0
Duluth,1985,3,9.6,-2.9,923.78,17.9,134,104,33,113,0,0
Duluth,1986,4.1,10.8,-1.8,994.9,17.3,139,99,31,147,0,0
Duluth,1987,6.2,12.4,0.7,-,15.6,108,82,26,111,0,0
Duluth,1988,4,11,-2.5,889.43,17.1,103,107,38,119,0,2
Duluth,1989,3.1,10.2,-3.7,707.13,15,105,117,20,118,0,0
Duluth,1990,4.8,12,-1.7,927.06,15.9,127,95,33,112,0,1
Duluth,1991,4.3,10.8,-1.8,1105.11,17.2,125,111,32,138,0,2
Duluth,1992,4.1,10.2,-1.7,765.43,16.4,133,115,27,136,0,1
Duluth,1993,3.5,9.7,-1.8,845.72,17,141,115,24,126,0,0
Duluth,1994,4.4,10.7,-1.2,752.25,17.4,129,96,39,110,0,1
Duluth,1995,4.1,10.2,-1.6,960.51,18,135,129,38,133,0,3
Duluth,1996,2.5,8,-2.4,913.31,16.2,106,113,30,103,1,0
Duluth,1997,3.9,8.7,-0.3,384.97,15.4,83,98,23,52,0,0
Duluth,1998,6.6,11.4,2.5,777.25,16,103,57,24,54,0,2
Duluth,1999,5.4,10.9,0.8,-,16.1,109,66,29,57,0,0
Duluth,2000,4.3,10.7,-1.2,-,15.7,100,93,25,63,0,0
Duluth,2001,5.4,11.8,-0.2,-,16.5,98,67,28,79,0,0
Duluth,2002,-,-,-,-,-,-,-,-,-,-,-
Duluth,2003,4.3,10.7,-1.4,637.44,16.3,85,85,24,35,0,0
Duluth,2004,4.1,10.2,-1.6,669.95,16.4,129,89,25,75,0,1
Duluth,2005,-,-,-,-,-,-,-,-,-,-,-
Duluth,2006,6.1,11.8,1.2,-,16,101,80,24,59,0,0
Duluth,2007,4.9,11.1,-0.4,649.63,16.6,112,86,37,71,0,1
Duluth,2008,3.5,9.5,-1.8,-,15.5,113,111,28,66,0,1
Duluth,2009,4,10,-1.3,649.38,14.9,115,90,26,69,0,0
Duluth,2010,5.5,11.8,0.2,869.09,14.7,42,71,4,39,0,0
Duluth,2011,4.9,10.8,-0.2,664.7,14.8,21,58,0,16,0,0
Duluth,2012,6.7,13.1,1,845.95,14.5,55,52,12,27,0,1
Duluth,2013,4.3,10.2,-1.3,821.83,14.8,116,125,24,66,0,0
Duluth,2014,3.2,9.4,-2.3,808.66,16.6,118,110,26,73,0,0
Duluth,2015,6,12.4,0.3,825.47,16.2,109,90,25,64,0,0
Duluth,2016,6.1,12.1,0.7,848.77,15.9,128,104,31,77,0,0
Duluth,2017,4.9,11,-0.8,951.17,15.8,127,91,32,58,0,1
Duluth,2018,4.9,11,-0.9,775.63,15.6,98,97,24,53,0,4
Duluth,2019,4.6,10.7,-1,876.24,16,129,108,25,60,0,1
Duluth,2020,5.4,11.6,-0.3,572.65,15.5,93,99,25,49,0,0
Duluth,2021,6.3,12.8,0.7,701.72,15.2,105,81,27,61,0,1
Duluth,2022,4,10.3,-1.6,883.86,16.6,113,115,38,57,0,0
Duluth,2023,6,12.1,0.7,894.76,15.5,122,95,24,69,0,1
Duluth,2024,6.9,13.3,1.4,746.4,15.5,124,75,26,58,0,1
Bemidji,1973,5.9,12.3,-0.8,-,16.2,120,75,45,111,0,1
